ADANIENT	ADANI ENTERPRISES LIMITED
GOLDCASE	ZERODHAAMC - GOLDCASE
GOLDETF	MIRAEAMC - MAGOLDETF
GOLDETFADD	DSPAMC - DSPGOLDETF
GOLDIETF	ICICI PRUDENTIAL GOLD ETF
GOLDSHARE	UTI GOLD ETF
GROWWDEFNC	GROWWAMC - GROWWDEFNC
GROWWEV	GROWWAMC - GROWWEV
GROWWGOLD	GROWWAMC - GROWWGOLD
GROWWLIQID	GROWWAMC - GROWWLIQID
GROWWLOVOL	GROWWAMC - GROWWLOVOL
GROWWMOM50	GROWWAMC - GROWWMOM50
GROWWN200	GROWWAMC - GROWWN200
GROWWNET	GROWWAMC - GROWWNET
GROWWNIFTY	GROWWAMC - GROWWNIFTY
GROWWNXT50	GROWWAMC - GROWWNXT50
GROWWPOWER	GROWWAMC - GROWWPOWER
GROWWRAIL	GROWWAMC - GROWWRAIL
GROWWSLVR	GROWWAMC - GROWWSLVR
GSEC10ABSL	BIRLASLAMC - GSEC10ABSL
GSEC10IETF	ICICIPRAMC - ICICI10GS
GSEC10YEAR	MIRAEAMC - MAGS813ETF
GSEC5IETF	ICICIPRAMC - ICICI5GSEC
HDFCBSE500	HDFCAMC - HDFCBSE500
HDFCGOLD	HDFC GOLD ETF
HDFCGROWTH	HDFCAMC - HDFCGROWTH
HDFCLIQUID	HDFCAMC - HDFCLIQUID
HDFCLOWVOL	HDFCAMC - HDFCLOWVOL
HDFCMID150	HDFCAMC - HDFCMID150
HDFCMOMENT	HDFCAMC - HDFCMOMENT
HDFCNEXT50	HDFCAMC - HDFCNEXT50
HDFCNIF100	HDFCAMC - HDFCNIF100
HDFCNIFBAN	HDFCAMC - HDFCNIFBAN
HDFCNIFIT	HDFCAMC - HDFCNIFIT
HDFCNIFTY	HDFCAMC - HDFCNIFTY
HDFCPSUBK	HDFCAMC HDFCPSUBK
HDFCPVTBAN	HDFCAMC - HDFCPVTBAN
HDFCQUAL	HDFCAMC - HDFCQUAL
HDFCSENSEX	HDFCAMC - HDFCSENSEX
HDFCSILVER	HDFCAMC - HDFCSILVER
HDFCSML250	HDFCAMC - HDFCSML250
HDFCVALUE	HDFCAMC - HDFCVALUE
HEALTHADD	DSPAMC - HEALTHADD
HEALTHIETF	ICICIPRAMC - ICICIPHARM
HEALTHY	BIRLASLAMC - HEALTHY
HNGSNGBEES	NIP IND ETF HANGSENG BEES
ICICIB22	ICICIPRAMC - BHARATIWIN
IDFNIFTYET	BANDHANAMC - IDFNIFTYET
INFRABEES	NIP IND ETF INFRA BEES
INFRAIETF	ICICIPRAMC - ICICIINFRA
INTERNET	MIRAEAMC - INTERNET
IT	KOTAKMAMC - KOTAKIT
ITBEES	NIP IND ETF IT
ITETF	MIRAEAMC - ITETF
ITETFADD	DSPAMC - DSPITETF
ITIETF	ICICIPRAMC - ICICITECH
IVZINGOLD	INVESCO INDIA GOLD ETF
IVZINNIFTY	INVESCO INDIA NIFTY ETF
JUNIORBEES	NIP IND ETF JUNIOR BEES
LICMFGOLD	LIC MF - LIC GOLD ETF
LICNETFGSC	LICNAMC - LICNMFET
LICNETFN50	LICNAMC - LICNFENGP
LICNETFSEN	LICNAMC - LICNFESGP
LICNFNHGP	LICNAMC - LICNFNHGP
LICNMID100	LICNAMC - LICNMID100
LIQGRWBEES	NIPPONAMC - LIQGRWBEES
LIQUID	MIRAEAMC - LIQUID
LIQUID1	KOTAKMAMC - KOTAKLIQ
LIQUIDADD	DSPAMC - LIQUIDADD
LIQUIDBEES	NIP IND ETF LIQUID BEES
LIQUIDBETF	BFAM - LIQUIDBETF
LIQUIDCASE	ZERODHAAMC - LIQUIDCASE
LIQUIDETF	DSP LIQUID ETF
LIQUIDIETF	ICICIPRAMC - ICICILIQ
LIQUIDPLUS	MIRAEAMC - LIQUIDPLUS
LIQUIDSBI	SBIAMC - LIQUIDSBI
LIQUIDSHRI	SHRIRAM - LIQUIDSHRI
LOWVOL	MIRAEAMC - MANV30F
LOWVOL1	KOTAKMAMC - KOTAKLOVOL
LOWVOLIETF	ICICI PR NIF LW VL 30 ETF
LTGILTBEES	NIP IND ETF LONGTERM GILT
LTGILTCASE	ZERODHAAMC - LTGILTCASE
MAFANG	MIRAEAMC - MAFANG
MAHKTECH	MIRAEAMC - MAHKTECH
MAKEINDIA	MIRAEAMC - MAMFGETF
MANUFGBEES	NIPPONAMC - MANUFGBEES
MASPTOP50	MIRAEAMC - MASPTOP50
METAL	MIRAEAMC - METAL
METALIETF	ICICIPRAMC - METALIETF
MID150	KOTAKMAMC - MID150
MID150BEES	NIP IND ETF MIDCAP 150
MID150CASE	ZERODHAAMC - MID150CASE
MIDCAP	KOTAKMAMC - KOTAKMID50
MIDCAPETF	MIRAEAMC - MAM150ETF
MIDCAPIETF	ICICIPRAMC - ICICIM150
MIDQ50ADD	DSPAMC - DSPQ50ETF
MIDSELIETF	ICICI PRUD MIDCAP SEL ETF
MIDSMALL	MIRAEAMC - MIDSMALL
MNC	KOTAKMAMC - KOTAKMNC
MOALPHA50	MOTILALAMC - MOALPHA50
MOCAPITAL	MOTILALAMC - MOCAPITAL
MODEFENCE	MOTILALAMC - MODEFENCE
MOGOLD	MOTILALAMC - MOGOLD
MOGSEC	MOTILALAMC - G5
MOHEALTH	MOTILALAMC - MOHEALTH
MOINFRA	MOTILALAMC - MOINFRA
MOLOWVOL	MOTILALAMC - MOLOWVOL
MOM100	MOTILAL OS MIDCAP100 ETF
MOM30IETF	ICICIPRAMC - ICICIMOM30
MOM50	MOTILAL OSWAL M50 ETF
MOMENTUM	BIRLASLAMC - MOMENTUM
MOMENTUM50	MOTILALAMC - MOMENTUM50
MOMGF	MOTILALAMC - MOMGF
MOMIDMTM	MOTILALAMC - MOMIDMTM
MOMOMENTUM	MOTILALAMC - MOMOMENTUM
MON100	MOTILAL OS NASDAQ100 ETF
MON50EQUAL	MOTILALAMC - MON50EQUAL
MONEXT50	MOTILALAMC - MONEXT50
MONIFTY500	MOTILALAMC - MONIFTY500
MONQ50	MOTILALAMC - MONQ50
MOPSE	MOTILALAMC - MOPSE
MOQUALITY	MOTILALAMC - MOQUALITY
MOREALTY	MOTILALAMC - MOREALTY
MOSILVER	MOTILALAMC - MOSILVER
MOSMALL250	MOTILALAMC - MOSMALL250
MOTOUR	MOTILALAMC - MOTOUR
MOVALUE	MOTILALAMC - MOVALUE
MSCIINDIA	KOTAKMAMC - MSCIINDIA
MULTICAP	MIRAEAMC - MULTICAP
NETF	TATAAML - NETF
NEXT30ADD	DSPAMC - NEXT30ADD
NEXT50	MIRAEAMC - MANXT50
NEXT50IETF	ICICIPRAMC - ICICINXT50
NIF100BEES	NIP IND ETF NIFTY 100
NIF100IETF	ICICI PRUD NIFTY 100 ETF
NIF10GETF	UTIAMC - NIF10GETF
NIF5GETF	UTIAMC - NIF5GETF
NIFITETF	UTIAMC - NIFITETF
NIFMID150	UTIAMC - NIFMID150
NIFTY1	KOTAK NIFTY ETF
NIFTY100EW	KOTAKMAMC - NIFTY100EW
NIFTY50ADD	DSPAMC - DSPN50ETF
NIFTYBEES	NIP IND ETF NIFTY BEES
NIFTYBETF	BFAM - NIFTYBETF
NIFTYETF	MIRAEAMC - MAN50ETF
NIFTYIETF	ICICI PRUD NIFTY ETF
NIFTYQLITY	BIRLASLAMC - NIFTYQLITY
NPBET	TATAAML - NPBET
NV20	KOTAKMAMC - KTKNV20ETF
NV20BEES	NIP IND ETF ETF NV20
NV20IETF	ICICI PRUDENTIAL NV20 ETF
OILIETF	ICICIPRAMC - OILIETF
PHARMABEES	NIPPONAMC - NETFPHARMA
PSUBANK	KOTAK PSU BANK
PSUBANKADD	DSPAMC - DSPPSBKETF
PSUBNKBEES	NIP IND ETF PSU BANK BEES
PSUBNKIETF	ICICIPRAMC - PSUBANKICI
PVTBANIETF	ICICIPRAMC - ICICIBANKP
PVTBANKADD	DSPAMC - DSPPVBKETF
QGOLDHALF	QUANTUM GOLD FUND
QNIFTY	QUANTUM NIFTY 50 ETF
QUAL30IETF	ICICIPRAMC - ICICIQTY30
QUALITY30	KOTAKMAMC - QUALITY30
SBIBPB	SBIAMC - SBIBPB
SBIETFCON	SBIAMC - SBIETFCON
SBIETFIT	SBIAMC - SBIETFIT
SBIETFPB	SBIAMC - SBIETFPB
SBIETFQLTY	SBIAMC - SBIETFQLTY
SBINEQWETF	SBIAMC - SBINEQWETF
SBISILVER	SBIAMC - SBISILVER
SDL26BEES	RELCAPAMC-NETFSDL26
SELECTIPO	MIRAEAMC - SELECTIPO
SENSEXADD	DSPAMC - DSPSENXETF
SENSEXETF	MIRAEAMC - SENSEXETF
SENSEXIETF	ICICI PRUD SENSEX ETF
SETF10GILT	SBIAMC - SETF10GILT
SETFGOLD	SBI-ETF GOLD
SETFNIF50	SBI-ETF NIFTY 50
SETFNIFBK	SBI-ETF NIFTY BANK
SETFNN50	SBI-ETF NIFTY NEXT 50
SHARIABEES	NIP IND ETF SHARIAH BEES
SILVER	BIRLASLAMC - SILVER
SILVER1	KOTAKMAMC - KOTAKSILVE
SILVER360	360ONEAMC - SILVER360
SILVERADD	DSPAMC - DSPSILVETF
SILVERBEES	NIPPONAMC - NETFSILVER
SILVERCASE	ZERODHAAMC - SILVERCASE
SILVERETF	UTIAMC - SILVERETF
SILVERIETF	ICICIPRAMC - ICICISILVE
SILVRETF	MIRAEAMC - MASILVER
SMALLCAP	MIRAEAMC - SMALLCAP
SNXT30BEES	NIPPONAMC - SNXT30BEES
TATAGOLD	TATAAML-TATAGOLD
TATSILV	TATAAML-TATSILV
TECH	BIRLASLAMC - TECH
TNIDETF	TATAAML - TNIDETF
TOP100CASE	ZERODHAAMC - TOP100CASE
TOP10ADD	DSPAMC - TOP10ADD
TOP15IETF	ICICIPRAMC - TOP15IETF
UNIONGOLD	UNIONAMC - UNIONGOLD
UTIBANKETF	UTIAMC - UTIBANKETF
UTINEXT50	UTIAMC - UTINEXT50
UTINIFTETF	UTIAMC - UTINIFTETF
UTISENSETF	UTIAMC - UTISENSETF
UTISXN50	UTIAMC - UTISXN50
VAL30IETF	ICICIPRAMC - VAL30IETF
